gameSimEvent|idGame|pitchLocation|pitchName|pitchOutcome|playerHitter|playerPitcher|playerRunner|playerRunner1|playerRunner2|playerRunner3|teamDefense|teamOffense
gameStart|1|||||||||||
halfInningStart|1|||||||||||
atBatStart|1|||||||||||
pitch|1|{"ax":1.1170276072564675,"ay":-13.61934230191887,"az":-1.3375042659687963,"pfxX":-14.654504500810413,"pfxZ":-13.062715763855582,"plateX":0.789313373497288,"plateZ":2.583281882695439,"releaseSpeed":75.73383717250785,"releasePosX":-1.3144492864320465,"releasePosY":51.1403741759504,"releasePosZ":6.30847978748652,"szBot":1.444,"szTop":3.332,"vx0":1.9571770181021453,"vy0":-111.12932146243463,"vz0":-2.27526482809342}|curveball|STRIKE|361|242|||||2|1
pitch|1|{"ax":-9.771194708883542,"ay":-16.68109816396701,"az":36.41004853528989,"pfxX":-8.281374500553616,"pfxZ":-1.246756667487924,"plateX":-1.100239398457342,"plateZ":3.0450428677025374,"releaseSpeed":83.94016484498611,"releasePosX":-0.04606027542719905,"releasePosY":50.576128021296284,"releasePosZ":6.014873078600602,"szBot":1.444,"szTop":3.332,"vx0":3.4378145431697575,"vy0":-123.17101458123994,"vz0":-3.4845849352928644}|slider|IN_PLAY|361|242|||||2|1
out|1||||361|242|||||2|1
atBatEnd|1||||||||||2|1
atBatStart|1|||||||||||
pitch|1|{"ax":17.40554123584029,"ay":-12.7052517059185,"az":-3.6332734839039453,"pfxX":-14.113606430609135,"pfxZ":-4.100642302835158,"plateX":1.385012581101448,"plateZ":2.2257404905986817,"releaseSpeed":85.1159136451657,"releasePosX":-0.6478522728490472,"releasePosY":52.904122658375385,"releasePosZ":5.170440857714979,"szBot":1.875,"szTop":4.625,"vx0":-2.8094095058340285,"vy0":-124.89626938480428,"vz0":-3.5228429066090023}|slider|BALL|331|242|||||2|1
pitch|1|{"ax":6.766108492307993,"ay":-39.16836328924829,"az":19.283664235771155,"pfxX":-9.321491249213711,"pfxZ":-12.697307115885943,"plateX":1.307990915220776,"plateZ":4.141439704563878,"releaseSpeed":78.86880880305411,"releasePosX":-0.17861226990741677,"releasePosY":50.51924595017753,"releasePosZ":5.103487962484849,"szBot":1.875,"szTop":4.625,"vx0":-4.80943305024576,"vy0":-115.72947488280109,"vz0":1.2298859226095509}|curveball|BALL|331|242|||||2|1
pitch|1|{"ax":4.931297191431341,"ay":-21.37371951712121,"az":12.664307776810126,"pfxX":-8.739201426157878,"pfxZ":-0.6305476097719502,"plateX":1.0721728269570694,"plateZ":2.914350916517119,"releaseSpeed":96.85420270106448,"releasePosX":-0.6793050783697446,"releasePosY":52.84189424934745,"releasePosZ":6.353138359218739,"szBot":1.875,"szTop":4.625,"vx0":-7.8249663686135,"vy0":-142.12064552384257,"vz0":0.28420580597173917}|sinker|STRIKE|331|242|||||2|1
pitch|1|{"ax":-18.011538932524743,"ay":-33.47030596158199,"az":20.00680676133298,"pfxX":-9.485236519287806,"pfxZ":-12.427181152417845,"plateX":-0.379177101121649,"plateZ":2.0210681524825356,"releaseSpeed":74.78680451225098,"releasePosX":-0.20738228814438853,"releasePosY":52.33865381864246,"releasePosZ":6.309023409655579,"szBot":1.875,"szTop":4.625,"vx0":-6.775686234275442,"vy0":-109.73967713875689,"vz0":5.485149322604281}|curveball|STRIKE|331|242|||||2|1
pitch|1|{"ax":-1.4231928804084646,"ay":-20.925845350294576,"az":-17.98255423753527,"pfxX":-0.9174313259280105,"pfxZ":-9.265046679933826,"plateX":-0.9998512760295862,"plateZ":3.2916956094046292,"releaseSpeed":70.87590037166576,"releasePosX":-0.379312586625344,"releasePosY":51.64648090588442,"releasePosZ":5.016517435060058,"szBot":1.875,"szTop":4.625,"vx0":-1.467124885967234,"vy0":-104.00094608175411,"vz0":4.073663700344984}|curveball|BALL|331|242|||||2|1
pitch|1|{"ax":-4.867757802731582,"ay":-13.852634797575938,"az":-18.65203478586237,"pfxX":2.578745580365645,"pfxZ":-10.61522649736422,"plateX":-0.2803765511193182,"plateZ":4.273870812937634,"releaseSpeed":71.91535380697061,"releasePosX":0.6134684969558799,"releasePosY":52.29920040638377,"releasePosZ":5.868905018022371,"szBot":1.875,"szTop":4.625,"vx0":3.037573398358628,"vy0":-105.52620558622246,"vz0":4.917314465031822}|curveball|IN_PLAY|331|242|||||2|1
out|1||||331|242|||||2|1
atBatEnd|1||||||||||2|1
atBatStart|1|||||||||||
pitch|1|{"ax":1.7681843019582715,"ay":-18.877178615439313,"az":24.270063431803862,"pfxX":-13.594859503614913,"pfxZ":4.038149982643098,"plateX":0.4374693449825587,"plateZ":1.5072018375272513,"releaseSpeed":85.73178627610274,"releasePosX":0.9605604960909304,"releasePosY":51.04367532579477,"releasePosZ":5.802880302455952,"szBot":1.444,"szTop":3.332,"vx0":-8.655523869513303,"vy0":-125.79998046215826,"vz0":-1.032530093068984}|slider|STRIKE|361|242|||||2|1
pitch|1|{"ax":-12.308892519012273,"ay":-32.88791322458291,"az":6.821849541182662,"pfxX":-5.570631040439062,"pfxZ":-10.334968466270254,"plateX":0.37556792975000824,"plateZ":2.142454948781884,"releaseSpeed":76.25725248444093,"releasePosX":0.46790763776633765,"releasePosY":54.840867806732675,"releasePosZ":6.938550596398341,"szBot":1.444,"szTop":3.332,"vx0":-0.248897606287251,"vy0":-111.89736373560874,"vz0":-3.677638133508809}|curveball|STRIKE|361|242|||||2|1
pitch|1|{"ax":16.285878769400647,"ay":-38.73494934916266,"az":10.525191907965628,"pfxX":-8.473650297118963,"pfxZ":-5.12942951824019,"plateX":1.3137991569150502,"plateZ":1.8834196281436846,"releaseSpeed":70.4296194039709,"releasePosX":1.1149032651403636,"releasePosY":50.063712494018624,"releasePosZ":5.859646146203839,"szBot":1.444,"szTop":3.332,"vx0":-0.8694805980024061,"vy0":-103.34608818767222,"vz0":5.844724944715427}|curveball|BALL|361|242|||||2|1
pitch|1|{"ax":4.3793252396929745,"ay":-25.302121284823954,"az":37.510815116764,"pfxX":-3.1669827350073447,"pfxZ":-0.7840051514535009,"plateX":-1.471837179264456,"plateZ":2.102583675225143,"releaseSpeed":86.19663921559929,"releasePosX":1.3610238419792804,"releasePosY":50.8719378784145,"releasePosZ":6.355382876596131,"szBot":1.444,"szTop":3.332,"vx0":0.2409394376051779,"vy0":-126.48209025184711,"vz0":1.0811514948665994}|sinker|STRIKE|361|242|||||2|1
strikeout|1||||361|242|||||2|1
atBatEnd|1||||||||||2|1
halfInningEnd|1|||||||||||
halfInningStart|1|||||||||||
atBatStart|1|||||||||||
