game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
1,100,30,16,0,"2011-3-31",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,9,5,0,"2011-3-31",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100,18,23,0,"2011-3-31",1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100,6,7,0,"2011-3-31",1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100,29,27,0,"2011-3-31",1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100,22,28,0,"2011-3-31",1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100,25,21,0,"2011-4-1",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100,17,26,0,"2011-4-1",1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,100,4,3,0,"2011-4-1",1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100,13,2,0,"2011-4-1",1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,100,19,15,0,"2011-4-1",1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,100,14,8,0,"2011-4-1",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,100,12,1,0,"2011-4-1",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100,20,24,0,"2011-4-1",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,100,6,7,0,"2011-4-1",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,100,10,11,0,"2011-4-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,100,22,28,0,"2011-4-1",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,100,30,16,0,"2011-4-2",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,100,4,3,0,"2011-4-2",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,100,17,26,0,"2011-4-2",1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,100,14,8,0,"2011-4-2",1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,100,6,7,0,"2011-4-2",1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,100,10,11,0,"2011-4-2",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,100,9,5,0,"2011-4-2",1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,29,27,0,"2011-4-2",1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,100,22,28,0,"2011-4-2",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,100,25,21,0,"2011-4-2",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,100,12,1,0,"2011-4-2",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,100,18,23,0,"2011-4-2",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,100,20,24,0,"2011-4-2",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,100,13,2,0,"2011-4-2",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,100,19,15,0,"2011-4-2",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,100,4,3,0,"2011-4-3",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,100,9,5,0,"2011-4-3",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,14,8,0,"2011-4-3",1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,100,18,23,0,"2011-4-3",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,100,20,24,0,"2011-4-3",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,100,30,16,0,"2011-4-3",1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
