player_id,team_id,league_id,position,role,fielding_ratings_infield_range,fielding_ratings_infield_arm,fielding_ratings_turn_doubleplay,fielding_ratings_outfield_range,fielding_ratings_outfield_arm,fielding_ratings_catcher_arm,fielding_ratings_catcher_ability,fielding_ratings_infield_error,fielding_ratings_outfield_error,fielding_experience0,fielding_experience1,fielding_experience2,fielding_experience3,fielding_experience4,fielding_experience5,fielding_experience6,fielding_experience7,fielding_experience8,fielding_experience9,fielding_rating_pos1,fielding_rating_pos2,fielding_rating_pos3,fielding_rating_pos4,fielding_rating_pos5,fielding_rating_pos6,fielding_rating_pos7,fielding_rating_pos8,fielding_rating_pos9
1,20,100,5,0,73,107,76,16,12,0,0,112,11,0,0,0,0,169,200,200,0,0,0,0,0,0,52,64,1,0,0,0
2,28,100,6,0,123,125,129,7,16,0,0,124,10,0,0,0,0,0,152,200,0,0,0,0,0,0,0,86,93,0,0,0
3,7,100,5,0,71,105,76,17,10,0,0,114,18,0,0,0,0,178,200,0,0,0,0,0,0,0,53,62,0,0,0,0
4,24,100,2,0,3,17,20,17,17,108,56,15,19,0,0,200,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
5,4,100,7,0,11,20,6,59,109,0,0,4,112,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,66,0,0
6,15,100,3,0,39,53,65,74,110,0,0,55,114,0,0,0,200,0,0,0,200,0,0,0,0,80,0,0,0,84,0,0
7,18,100,4,0,72,81,121,20,18,0,0,115,1,0,0,0,0,200,200,200,0,0,0,0,0,0,76,52,1,0,0,0
8,6,100,5,0,82,115,74,8,15,0,0,84,3,0,0,0,92,0,200,0,0,0,0,0,0,67,0,66,0,0,0,0
9,11,100,7,0,13,5,13,74,110,0,0,18,114,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,84,0,0
10,2,100,9,0,4,10,16,96,96,0,0,17,122,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,86
11,20,100,5,0,76,110,73,7,6,0,0,109,18,0,0,0,0,0,200,0,0,0,0,0,0,0,0,66,0,0,0,0
12,1,100,6,0,109,121,129,4,20,0,0,126,2,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,79,0,0,0
13,9,100,6,0,94,123,127,12,2,0,0,149,1,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,70,0,0,0
14,14,100,4,0,119,129,143,8,12,0,0,125,18,0,0,0,0,192,200,200,0,0,0,0,0,0,125,115,94,0,0,0
15,22,100,5,0,92,123,71,18,19,0,0,135,2,0,0,0,0,168,200,200,0,0,0,0,0,0,71,91,46,0,0,0
16,20,100,8,0,10,6,18,124,140,0,0,6,122,0,0,0,0,0,0,0,200,200,122,0,0,0,0,0,0,151,80,82
17,23,100,2,0,15,20,18,6,18,107,54,18,13,0,0,200,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
18,10,100,4,0,124,75,148,4,12,0,0,181,16,0,0,0,0,200,0,0,0,0,0,0,0,0,152,0,0,0,0,0
19,21,100,6,0,165,147,151,15,8,0,0,127,1,0,0,0,0,200,0,200,0,0,0,0,0,0,175,0,145,0,0,0
20,23,100,4,0,104,59,131,20,1,0,0,66,20,0,0,0,0,200,0,0,0,0,0,0,0,0,89,0,0,0,0,0
21,5,100,6,0,128,145,122,2,10,0,0,185,20,0,0,0,0,0,200,200,0,0,0,0,0,0,0,146,115,0,0,0
22,17,100,7,0,5,20,1,60,117,0,0,18,116,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,69,1,58
23,9,100,9,0,32,53,65,140,95,0,0,64,144,0,0,0,200,0,0,0,0,0,200,0,0,70,0,0,0,0,0,133
24,12,100,3,0,56,90,85,1,14,0,0,131,12,0,0,0,200,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
25,3,100,8,0,19,5,12,173,100,0,0,20,117,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,153,165
26,29,100,4,0,95,52,117,72,117,0,0,89,116,0,0,0,0,200,0,0,0,0,200,0,0,0,83,0,0,0,0,70
27,22,100,7,0,14,13,15,116,185,0,0,12,119,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,152,73,0
28,21,100,8,0,19,16,16,161,102,0,0,12,152,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,139,0
